#         PSIN          press         pprime              F        FFprime              q            Phi           RhoN
  8.787879e-01   1.453612e+02   1.130993e+04   4.500385e+00   1.347168e-01   2.687096e+00   1.203955e+00   3.915256e-01 
  8.888889e-01   1.124133e+02   9.555140e+03   4.500298e+00   1.138148e-01   2.785815e+00   1.232623e+00   3.961596e-01 
  8.989899e-01   8.479416e+01   7.939457e+03   4.500224e+00   9.456979e-02   2.894694e+00   1.262459e+00   4.009255e-01 
  9.090909e-01   6.206000e+01   6.465470e+03   4.500164e+00   7.701259e-02   3.015804e+00   1.293591e+00   4.058388e-01 
  9.191919e-01   4.375870e+01   5.135761e+03   4.500116e+00   6.117393e-02   3.151931e+00   1.326182e+00   4.109194e-01 
  9.292929e-01   2.943004e+01   3.952903e+03   4.500078e+00   4.708449e-02   3.306933e+00   1.360432e+00   4.161917e-01 
  9.393939e-01   1.860565e+01   2.919468e+03   4.500049e+00   3.477486e-02   3.486803e+00   1.396614e+00   4.216900e-01 
  9.494949e-01   1.080905e+01   2.038020e+03   4.500029e+00   2.427560e-02   3.700637e+00   1.435086e+00   4.274586e-01 
  9.595960e-01   5.555671e+00   1.311118e+03   4.500015e+00   1.561721e-02   3.963145e+00   1.476340e+00   4.335591e-01 
  9.696970e-01   2.352835e+00   7.413170e+02   4.500006e+00   8.830099e-03   4.302653e+00   1.521160e+00   4.400911e-01 
  9.797980e-01   6.998120e-01   3.311675e+02   4.500002e+00   3.944658e-03   4.782842e+00   1.570866e+00   4.472236e-01 
  9.898990e-01   8.781072e-02   8.321482e+01   4.500000e+00   9.912023e-04   5.602712e+00   1.628263e+00   4.553206e-01 
  1.000000e+00  -0.000000e+00   0.000000e+00   4.500000e+00   0.000000e+00   1.212822e+01   1.707147e+00   4.662196e-01 
