ZONE I=361 J=100 K=1
1.300015e+00 8.951639e-03 -1.910945e-01 -7.272957e+02
1.300006e+00 -5.231800e-09 -1.910945e-01 -7.290448e+02
1.300015e+00 -8.951649e-03 -1.910945e-01 -7.272957e+02
1.300050e+00 -1.790754e-02 -1.910945e-01 -7.229157e+02
1.300103e+00 -2.687215e-02 -1.910945e-01 -7.152206e+02
1.300184e+00 -3.584939e-02 -1.910945e-01 -7.053223e+02
1.300286e+00 -4.484394e-02 -1.910945e-01 -6.923713e+02
1.300403e+00 -5.386083e-02 -1.910945e-01 -6.755170e+02
1.300547e+00 -6.290342e-02 -1.910945e-01 -6.558254e+02
1.300720e+00 -7.197576e-02 -1.910945e-01 -6.336392e+02
1.300908e+00 -8.108433e-02 -1.910945e-01 -6.075443e+02
1.301122e+00 -9.023219e-02 -1.910945e-01 -5.791427e+02
1.301354e+00 -9.942561e-02 -1.910945e-01 -5.474372e+02
1.301617e+00 -1.086669e-01 -1.910945e-01 -5.130687e+02
1.301914e+00 -1.179599e-01 -1.910945e-01 -4.767703e+02
1.302224e+00 -1.273146e-01 -1.910945e-01 -4.369588e+02
1.302556e+00 -1.367341e-01 -1.910945e-01 -3.954010e+02
1.302916e+00 -1.462225e-01 -1.910945e-01 -3.529222e+02
1.303304e+00 -1.557852e-01 -1.910945e-01 -3.088417e+02
1.303727e+00 -1.654256e-01 -1.910945e-01 -2.646354e+02
1.304165e+00 -1.751557e-01 -1.910945e-01 -2.201652e+02
1.304639e+00 -1.849752e-01 -1.910945e-01 -1.780105e+02
1.305137e+00 -1.948946e-01 -1.910945e-01 -1.364293e+02
1.305664e+00 -2.049182e-01 -1.910945e-01 -9.504432e+01
1.306234e+00 -2.150476e-01 -1.910945e-01 -6.058964e+01
1.306831e+00 -2.252963e-01 -1.910945e-01 -3.596662e+01
1.307453e+00 -2.356724e-01 -1.910945e-01 -2.172658e+01
1.308110e+00 -2.461801e-01 -1.910945e-01 -1.383641e+01
1.308809e+00 -2.568238e-01 -1.910945e-01 -9.805687e+00
1.309544e+00 -2.676149e-01 -1.910945e-01 -9.108717e+00
1.310315e+00 -2.785623e-01 -1.910945e-01 -1.231734e+01
1.311115e+00 -2.896793e-01 -1.910945e-01 -2.270976e+01
