ZONE I=129 J=129
8.798437e-01 -1.500000e+00 -1.626631e-01
8.798437e-01 -1.475000e+00 -1.635175e-01
8.798437e-01 -1.450000e+00 -1.638153e-01
8.798437e-01 -1.425000e+00 -1.637407e-01
8.798437e-01 -1.400000e+00 -1.636086e-01
8.798437e-01 -1.375000e+00 -1.638799e-01
8.798437e-01 -1.350000e+00 -1.653025e-01
8.798437e-01 -1.325000e+00 -1.658868e-01
8.798437e-01 -1.300000e+00 -1.652633e-01
8.798437e-01 -1.275000e+00 -1.642262e-01
8.798437e-01 -1.250000e+00 -1.625735e-01
8.798437e-01 -1.225000e+00 -1.601571e-01
8.798437e-01 -1.200000e+00 -1.575367e-01
8.798437e-01 -1.175000e+00 -1.544290e-01
8.798437e-01 -1.150000e+00 -1.504171e-01
8.798437e-01 -1.125000e+00 -1.460389e-01
8.798437e-01 -1.100000e+00 -1.409664e-01
8.798437e-01 -1.075000e+00 -1.344450e-01
8.798437e-01 -1.050000e+00 -1.267519e-01
8.798437e-01 -1.025000e+00 -1.169049e-01
8.798437e-01 -1.000000e+00 -1.070347e-01
8.798437e-01 -9.750000e-01 -9.939484e-02
8.798437e-01 -9.500000e-01 -9.298218e-02
8.798437e-01 -9.250000e-01 -8.813852e-02
8.798437e-01 -9.000000e-01 -8.404359e-02
8.798437e-01 -8.750000e-01 -8.034902e-02
8.798437e-01 -8.500000e-01 -7.763720e-02
8.798437e-01 -8.250000e-01 -7.543684e-02
8.798437e-01 -8.000000e-01 -7.342052e-02
8.798437e-01 -7.750000e-01 -7.215732e-02
8.798437e-01 -7.500000e-01 -7.142114e-02
8.798437e-01 -7.250000e-01 -7.088510e-02
8.798437e-01 -7.000000e-01 -7.118997e-02
8.798437e-01 -6.750000e-01 -7.148190e-02
8.798437e-01 -6.500000e-01 -7.040969e-02
8.798437e-01 -6.250000e-01 -6.988790e-02
8.798437e-01 -6.000000e-01 -7.010937e-02
8.798437e-01 -5.750000e-01 -7.036393e-02
8.798437e-01 -5.500000e-01 -7.080718e-02
8.798437e-01 -5.250000e-01 -7.196200e-02
